titulo,enlace,link
How a random text ended in happily ever after,https://www.bbc.com/news/articles/c77rvx4jn4go,
Trump says he believes US will 'get Greenland',https://www.bbc.com/news/articles/crkezj07rzro,
Co-operate or else: Trump's Colombia face-off is warning to all leaders,https://www.bbc.com/news/articles/cglynrxjyl5o,
Trump imposes 25% tariffs on Colombia as deported migrant flights blocked,https://www.bbc.com/news/articles/cdxny0lnyepo,
Six hostages to be freed and Gazans to be allowed north - Israel,https://www.bbc.com/news/articles/c8r5y75d17vo,
Trump wants neighbours to take in Palestinians to 'clean out' Gaza,https://www.bbc.com/news/articles/c07kpjyzgllo,
Rebels say they have taken DR Congo city as thousands flee,https://www.bbc.com/news/articles/c0qwlkydxxko,
Trump says he believes US will 'get Greenland',https://www.bbc.com/news/articles/crkezj07rzro,
Inside the race for Greenland's mineral wealth,https://www.bbc.com/news/articles/c9d5jwvw9nlo,
"My opponents choose jail and exile, Lukashenko tells BBC",https://www.bbc.com/news/articles/c23npdrj41do,
US Air Force removes lessons on black WWII pilots from training,https://www.bbc.com/news/articles/c74e175p40qo,
Survivors return as world remembers Auschwitz 80 years after liberation,https://www.bbc.com/news/articles/czj3mde43k2o,
NFL play-offs: Bills lead Chiefs in topsy-turvy battle to reach Super Bowl 59 - radio & text,https://www.bbc.com/sport/american-football/live/c36076rr678t,
Amorim says he'd rather pick 63-year-old coach over Rashford,https://www.bbc.com/sport/football/articles/c0m1lemv8w7o,
Postecoglou unsure on future - but why do many Spurs fans blame Levy?,https://www.bbc.com/sport/football/articles/c99ym87x2xyo,
Will Premier League get extra Champions League spot?,https://www.bbc.com/sport/football/articles/cr46erzp1e0o,
'Never doubt Bryan' - Mbeumo 'Premier League's best' penalty taker,https://www.bbc.com/sport/football/articles/c0rq7dkv8exo,
Amorim says he'd rather pick 63-year-old coach over Rashford,https://www.bbc.com/sport/football/articles/c0m1lemv8w7o,
Eagles run Commanders ragged to reach Super Bowl 59,https://www.bbc.com/sport/american-football/articles/c07kp437mmdo,
'Sinner will be one of greatest players we've ever seen',https://www.bbc.com/sport/tennis/articles/ce8j3g8z0deo,
Postecoglou unsure on future - but why do many Spurs fans blame Levy?,https://www.bbc.com/sport/football/articles/c99ym87x2xyo,
Trump feuds with Colombia's president over deportation flights,https://www.cnn.com/2025/01/26/politics/colombia-tariffs-trump-deportation-flights/index.html,
"Silencios, ataques, alusiones al pasado y escasos argumentos marcaron primer debate presidencial de 16 candidatos en Ecuador ",,https://cnnespanol.cnn.com/2025/01/20/latinoamerica/debate-presidencial-ecuador-analisis-orix
Daniel Noboa esquiva críticas en debate electoral y defiende su gestión al frente de Ecuador ,,https://cnnespanol.cnn.com/2025/01/20/latinoamerica/daniel-noboa-esquiva-criticas-debate-presidencial-orix
Estas son las 5 propuestas clave de Luisa González para ser la primera presidenta electa de Ecuador ,,https://cnnespanol.cnn.com/2025/01/19/latinoamerica/propuestas-luisa-gonzalez-candidata-elecciones-ecuador-orix
5 propuestas clave de Daniel Noboa para ser electo presidente de Ecuador ,,https://cnnespanol.cnn.com/2025/01/19/latinoamerica/5-propuestas-daniel-noboa-elecciones-ecuador-orix
Ecuador: conoce los otros 14 perfiles de aspirantes a la Presidencia ,,https://cnnespanol.cnn.com/2025/01/18/latinoamerica/ecuador-perfiles-14-candidatos-presidencia-orix
Juan Iván Cueva fija su postura sobre el régimen de Venezuela ,,https://cnnespanol.cnn.com/2025/01/23/latinoamerica/video/juan-ivan-cueva-ecuador-elecciones-venezuela-postura-conclusiones-tv
"Juan Iván Cueva dice que, de llegar a la presidencia de Ecuador, buscará utilizar la inteligencia artificial ",,https://cnnespanol.cnn.com/2025/01/22/latinoamerica/video/propuestas-juan-ivan-cueva-ecuador-inteligencia-artificial-conclusiones-tv
Luisa González evita pronunciarse sobre el régimen de Maduro en Venezuela ,,https://cnnespanol.cnn.com/2025/01/22/latinoamerica/video/ecuador-venezuela-maduro-luisa-gonzalez-revolucion-ciudadana-candidata-presidencia-conclusiones-tv
Del Rincón le pregunta a Luisa González: ¿Quién gobernaría Ecuador? ¿Usted o Rafael Correa? ,,https://cnnespanol.cnn.com/2025/01/21/latinoamerica/video/candidata-elecciones-ecuador-luisa-gonzalez-noboa-votos-conclusiones-tv
"¿Quién es Luisa González, la opción presidencial de la Revolución Ciudadana en Ecuador? ",,https://cnnespanol.cnn.com/2025/01/18/latinoamerica/quien-es-luisa-gonzalez-candidata-elecciones-ecuador-orix
"Daniel Noboa, el joven presidente-candidato que persigue un nuevo mandato de 4 años más en Ecuador",,https://cnnespanol.cnn.com/2025/01/18/latinoamerica/daniel-noboa-quien-es-perfil-candidato-elecciones-ecuador-orix
Cómo y dónde ver el debate presidencial de Ecuador el 19 de enero,,https://cnnespanol.cnn.com/2025/01/16/latinoamerica/como-donde-ver-debate-presidencial-ecuador-orix
"Sismo de magnitud 5,1 sacudió Guayaquil, Ecuador, según el USGS",,https://cnnespanol.cnn.com/2025/01/12/latinoamerica/sismo-guayaquil-ecuador-usgs-orix
"Matan al alcalde de Arenillas, Ecuador, en un atentado",,https://cnnespanol.cnn.com/2025/01/12/latinoamerica/alcalde-ecuador-muere-atentado-ponce-rosero-orix
Por “fuerza mayor” Daniel Noboa delega la presidencia de Ecuador por tres días a la vicepresidenta encargada,,https://cnnespanol.cnn.com/2025/01/07/latinoamerica/noboa-delega-presidencia-ecuador-vicepresidenta-orix
¿Cuándo son y qué se vota en las elecciones de Ecuador de 2025? ,,https://cnnespanol.cnn.com/2025/01/06/latinoamerica/cuando-son-que-vota-elecciones-ecuador-2025-orix
Trasladan temporalmente a Jorge Glas debido a motín en cárcel donde está recluido en Ecuador,,https://cnnespanol.cnn.com/2025/01/06/latinoamerica/jorge-glas-carcel-traslado-ecuador-orix
Abad dice que asumirá la presidencia el domingo cuando empiece campaña electoral. Noboa nombra otra vicepresidenta encargada,,https://cnnespanol.cnn.com/2025/01/04/latinoamerica/ecuador-abad-presidencia-noboa-nombra-vicepresidenta-orix
"""Voy a luchar hasta el final"": la promesa de Luis Arroyo, padre de los niños que fueron encontrados calcinados en Ecuador",,https://cnnespanol.cnn.com/2025/01/04/latinoamerica/luis-arroyo-padre-ninos-ecuador-orix
Noboa renueva estado de excepción para algunas provincias y localidades de Ecuador,,https://cnnespanol.cnn.com/2025/01/03/latinoamerica/noboa-renueva-estado-de-excepcion-ecuador-orix
Designan nuevamente a Sariha Moya como vicepresidenta encargada de Ecuador hasta que Verónica Abad se presente en Turquía,,https://cnnespanol.cnn.com/2025/01/02/latinoamerica/sariha-moya-vicepresidenta-ecuador-veronica-abad-turquia-orix
"Las propuestas de Luisa González, la candidata del correísmo, para llegar a Carondelet ",,https://cnnespanol.cnn.com/2025/01/21/latinoamerica/video/propuestas-luisa-gonzalez-ecuador-elecciones-votantes-apoyo-conclusiones-tv
Así se vivió el primer debate presidencial en Ecuador ,,https://cnnespanol.cnn.com/2025/01/20/latinoamerica/video/primer-debate-ecuador-cafe-tv
Daniel Noboa y Jorge Escala se enfrentan en debate sobre servicios públicos ,,https://cnnespanol.cnn.com/2025/01/19/latinoamerica/video/daniel-noboa-jorge-escala-vender-patria-debate-ecuador
"El papel del CNE no es pronunciarse sobre la licencia de Noboa y la destitución Abad, dice su vicepresidente ",,https://cnnespanol.cnn.com/2025/01/17/latinoamerica/video/cne-elecciones-votantes-ecuador-apoyo-inseguridad-debate-conclusiones-tv
"Vicepresidente del CNE: Hay vacíos legales, pero no podemos actuar contra la falta de licencia de Noboa ",,https://cnnespanol.cnn.com/2025/01/17/latinoamerica/video/cne-proceso-electoral-candidatos-ecuador-conclusiones-tv
"Henry Kronfle detalla su plan económico: “no a la privatización, pero si a las alianzas” para afrontar la crisis ",,https://cnnespanol.cnn.com/2025/01/16/latinoamerica/video/propuestas-kronfle-seguridad-gobierno-ecuador-elecciones-conclusiones-tv
"Henry Kronfle denuncia una ""desigualdad grotesca"" en las elecciones de Ecuador por acciones de Noboa ",,https://cnnespanol.cnn.com/2025/01/16/latinoamerica/video/candidatos-ecuador-henrry-kronfle-votos-elecciones-cne-conclusiones-tv
Daniel Noboa delega la presidencia de Ecuador por segunda vez a Cynthia Gellibert ,,https://cnnespanol.cnn.com/2025/01/16/latinoamerica/video/noboa-delega-presidencia-gellibert-campana-abad-pleito-conclusiones-tv
Henry Cucalón: CNE de Ecuador ha sido “árbitro silencioso y cómplice” al permitir campañas sin pedir licencia ,,https://cnnespanol.cnn.com/2025/01/16/latinoamerica/video/ecuador-candidato-henry-cucalon-elecciones-conclusiones-tv
"Henry Cucalón matiza su propuesta de seguridad: No habrá militarización, pero sí apoyo de los militares en los puertos ",,https://cnnespanol.cnn.com/2025/01/15/latinoamerica/video/propuestas-henry-cucalon-votos-cne-actuar-conclusiones-tv
Leonidas Iza explica su propuesta para combatir el narcotráfico en Ecuador ,,https://cnnespanol.cnn.com/2025/01/14/latinoamerica/video/leonidas-iza-propuestas-plan-gobierno-ecuador-violencia-votantes-conclusiones-tv
Verónica Abad: He pedido que se active la Carta Democrática por acciones de Daniel Noboa ,,https://cnnespanol.cnn.com/2025/01/13/latinoamerica/video/daniel-noboa-veronica-abad-decreto-candidatura-reeleccion-ecuador-conclusiones-tv
"Verónica Abad, vicepresidenta de Ecuador: ""La Constitución es clara, pero no la respetan"" ",,https://cnnespanol.cnn.com/2025/01/13/latinoamerica/video/veronica-abad-noboa-golpe-de-estado-suspension-ecuador-conclusiones-tv
"Noboa encarga la presidencia para hacer campaña en un ""acto inconstitucional espantoso"", según experto ",,https://cnnespanol.cnn.com/2025/01/13/latinoamerica/video/licencia-campana-noboa-irregular-asamblea-decreto-vicepresidenta-conclusiones-tv
Efectos y consecuencias de los 25 años de la dolarización en Ecuador ,,https://cnnespanol.cnn.com/2025/01/13/latinoamerica/video/efectos-consecuencias-25-anos-dolarizacion-ecuador-tv
Así está el panorama en Ecuador al inicio de la campaña electoral ,,https://cnnespanol.cnn.com/2025/01/06/latinoamerica/video/ecuador-incio-campana-electoral-tv
Indignación y dolor durante el funeral de los cuatro menores hallados muertos tras ser detenidos por una patrulla militar ,,https://cnnespanol.cnn.com/2025/01/03/latinoamerica/video/sepelio-menores-menores-muertos-ecuador-cafe-tv-fast
Dolor en Ecuador: Fiscalía confirma que los 4 menores desaparecidos en Guayaquil fueron incinerados tras operativo militar ,,https://cnnespanol.cnn.com/2024/12/31/latinoamerica/ecuador-menores-desaparecidos-incinerados-operativo-orix
Los apagones que mantuvieron a Ecuador en la oscuridad durante 2024 ,,https://cnnespanol.cnn.com/2024/12/30/latinoamerica/video/crisis-energetica-ecuador-2024
"Noboa “ha intentado todos los días provocar mi destitución”, dice la vicepresidenta de Ecuador a CNN ",,https://cnnespanol.cnn.com/2024/12/26/latinoamerica/noboa-intentado-destitucion-veronica-abad-vicepresidenta-ecuador-orix
Cristian Espinosa was appointed Ambassador of Ecuador to the United States,https://www.ecuadortimes.net/cristian-espinosa-was-appointed-ambassador-of-ecuador-to-the-united-states/,
Daniel Noboa receives the credentials of the new United States ambassador,https://www.ecuadortimes.net/daniel-noboa-receives-the-credentials-of-the-new-united-states-ambassador/,
"40,000 women will receive scholarships in higher education",https://www.ecuadortimes.net/40000-women-will-receive-scholarships-in-higher-education/,
Armed Forces: Criminal gangs have lost USD 1.2 billion due to military operations in Ecuador,https://www.ecuadortimes.net/armed-forces-criminal-gangs-have-lost-usd-1-2-billion-due-to-military-operations-in-ecuador/,
How can green banana flour enhance baked goods?,https://www.ecuadortimes.net/how-can-green-banana-flour-enhance-baked-goods/,
"“I’m crazy for wanting to serve my country,” says Daniel Noboa at the presentation of “La Cárcel del Encuentro” in Santa Elena",https://www.ecuadortimes.net/im-crazy-for-wanting-to-serve-my-country-says-daniel-noboa-at-the-presentation-of-la-carcel-del-encuentro-in-santa-elena/,
"National blackout in Ecuador due to transmission line failure, confirms the Government",https://www.ecuadortimes.net/national-blackout-in-ecuador-due-to-transmission-line-failure-confirms-the-government/,
Chinese Embassy donates radio/streaming equipment to Public Communication Company of Ecuador EP,https://www.ecuadortimes.net/chinese-embassy-donates-radio-streaming-equipment-to-public-communication-company-of-ecuador-ep/,
Rafael Correa reconoció a Nicolás Maduro como presidente de Venezuela,https://www.eltelegrafo.com.ec/noticias/politica/44/rafael-correa-reconocio-maduro-presidente,
Gobierno Nacional rechaza nombramiento ilegal de Superintendente de Bancos,https://www.eltelegrafo.com.ec/noticias/politica/44/gobierno-nacional-rechaza-nombramiento-ilegal,
Presidente Noboa deroga decretos sobre indultos a privados de libertad,https://www.eltelegrafo.com.ec/noticias/politica/44/presidente-noboa-deroga-indultos-lasso,
"Esteban Ron: ""Y si queremos decir que (Noboa) ganó la interpelación, la ha ganado""",https://www.eltelegrafo.com.ec/noticias/politica/44/daniel-noboa-mantiene-la-tendencia-como-ganador-del-debate-electoral,
Daniel Noboa encarga la Presidencia a Cynthia Gellibert hasta el 19 de enero,https://www.eltelegrafo.com.ec/noticias/politica/44/daniel-noboa-encarga-gellibert-presidencia,
Ministra Ivonne Núñez apeló sentencia y solicita revocar acción de protección de Verónica Abad,https://www.eltelegrafo.com.ec/noticias/politica/44/ministra-ivonne-nunez-apelo-sentencia,
Presidente Noboa recorrió el Complejo Hidroeléctrico Paute-Molino,https://www.eltelegrafo.com.ec/noticias/politica/44/presidente-noboa-recorrio-el-complejo-hidroelectrico-paute-molino,
Campaña Electoral 2025: Estas fueron las actividades de los candidatos,https://www.eltelegrafo.com.ec/noticias/politica/44/campana-electoral-actores-presidenciales,
CNE y Contraloría firman convenio de cooperación para las elecciones,https://www.eltelegrafo.com.ec/noticias/politica/44/cne-contraloria-convenio-cooperacion,
Presidente Daniel Noboa se reunió con Edmundo González y María Corina Machado,https://www.eltelegrafo.com.ec/noticias/politica/44/presidente-daniel-noboa-se-reunio-con-edmundo-gonzalez-y-maria-corina-machado,
Gobierno Nacional inaugura Unidad de Terapia Intensiva Materna de Hospital Matilde Hidalgo,https://www.eltelegrafo.com.ec/noticias/politica/44/gobierno-nacional-inaugura-unidad-terapia,
"Presidente Daniel Noboa cerró el año con 53,7% de gestión positiva",https://www.eltelegrafo.com.ec/noticias/politica/44/presidente-daniel-noboa-cerro-positiva-imagen,
En vivo: Debate de los candidatos a asambleístas nacionales,https://www.eluniverso.com/noticias/politica/en-vivo-debate-de-los-candidatos-a-asambleistas-nacionales-nota/,
"“Usted me considera una raza inferior y no lo soy”, responde Gustavo Petro a Donald Trump",https://www.eluniverso.com/noticias/internacional/gustavo-petro-responde-donald-trump-deportaciones-colombia-estados-unidos-aranceles-nota/,
¿Cuántos contratos se han generado desde la aplicación de la Ley de Generación de Empleo?,https://www.eluniverso.com/noticias/economia/cuantos-empleos-jovenes-ecuador-ministerio-del-trabajo-gobierno-daniel-noboa-nota/,
Donald Trump responde a Petro con aumento de aranceles a Colombia,https://www.eluniverso.com/noticias/internacional/donald-trump-aumentara-aranceles-a-colombia-la-negacion-de-estos-vuelos-por-parte-de-petro-ha-puesto-en-peligro-la-seguridad-nacional-y-publica-de-los-estados-unidos-nota/,
"Comandante de CTE sobre asesinato de dos servidores de tránsito: ‘El luto nos embarga, se está investigando; al momento no estarían relacionados ambos casos’",https://www.eluniverso.com/guayaquil/comunidad/asesinato-agentes-cte-pronunciamiento-comandante-investigaciones-policia-ataques-salinas-naranjito-enero-2025-nota/,
Pleno de la Asamblea Nacional calificó proyecto urgente sobre emprendimiento de las mujeres,https://www.eluniverso.com/noticias/politica/pleno-de-la-asamblea-nacional-califico-proyecto-urgente-sobre-emprendimiento-de-las-mujeres-nota/,
"Esto es lo que se sabe sobre el asesinato del jefe de la CTE en la playa de Chipipe, Salinas",https://www.eluniverso.com/noticias/seguridad/jefe-cte-asesinato-ronald-gancino-esto-es-lo-que-se-sabe-investigaciones-policia-nota/,
María Corina Machado pide a los venezolanos en Ecuador acompañar a Edmundo González en su visita,https://www.eluniverso.com/noticias/internacional/maria-corina-machado-venezolanos-en-ecuador-venezuela-edmundo-gonzalez-daniel-noboa-nota/,
"Respiración profunda, mantras positivos y otros trucos para calmar la ansiedad rápidamente ¿Qué debes evitar?",https://www.eluniverso.com/larevista/salud/como-calmar-la-ansiedad-rapido-y-que-cosas-debes-evitar-nota/,
300 ayudas técnicas se entregaron a ciudadanos del sur de Guayaquil,https://www.eluniverso.com/guayaquil/comunidad/300-ayudas-tecnicas-se-entregaron-a-ciudadanos-del-sur-de-guayaquil-nota/,
Estados Unidos suspende la emisión de visas en su embajada en Bogotá,https://www.eluniverso.com/noticias/internacional/estados-unidos-visas-colombia-suspende-emision-bogota-gustavo-petro-donald-trump-marco-rubio-nota/,
Empresarios colombianos ante crisis con Estados Unidos: “Ponen la relación en su momento más crítico de las últimas décadas”,https://www.eluniverso.com/noticias/internacional/colombia-estados-unidos-exportaciones-importaciones-empresarios-colombianos-crisis-donald-trump-gustavo-petro-nota/,
Barcelona SC se disculpa ‘por la calidad de transmisión’ de la Noche Amarilla en Estados Unidos,https://www.eluniverso.com/deportes/campeonato-ecuatoriano/barcelona-sc-se-disculpa-por-la-calidad-de-transmision-de-la-noche-amarilla-en-estados-unidos-nota/,
"Quién era el creador de contenido y agente de la CTE asesinado en Naranjito, provincia del Guayas",https://www.eluniverso.com/noticias/seguridad/quien-era-el-creador-de-contenido-y-agente-de-la-cte-asesinado-en-naranjito-provincia-del-guayas-nota/,
Fuerzas Armadas realizaron evento de conmemoración por los 30 años del combate del Cenepa,https://www.eluniverso.com/noticias/ecuador/fuerzas-armadas-realizaron-evento-de-conmemoracion-por-los-30-anos-de-la-batalla-del-cenepa-nota/,
‘Pagamos justos por pecadores’: Ecuatorianos indocumentados en Estados Unidos temen las ‘deportaciones masivas’ prometidas por Donald Trump,https://www.eluniverso.com/noticias/internacional/pagamos-justos-por-pecadores-ecuatorianos-indocumentados-en-estados-unidos-temen-las-deportaciones-masivas-prometidas-por-donald-trump-nota/,
"Quién era el jefe de la CTE que fue asesinado en la playa de Chipipe, en Salinas",https://www.eluniverso.com/noticias/seguridad/quien-era-el-jefe-de-la-cte-que-fue-asesinado-en-la-playa-de-chipipe-en-salinas-nota/,
"Miguel Ponce, un artista gastronómico que creció en el calor de la cocina familiar ecuatoriana",https://www.eluniverso.com/entretenimiento/gastronomia/miguel-ponce-un-artista-gastronomico-que-crecio-en-el-calor-de-la-cocina-familiar-ecuatoriana-nota/,
Entré con visa y me quedé en Estados Unidos: ¿Puedo arreglar mis papeles?,https://www.eluniverso.com/estados-unidos/puedo-arreglar-mis-papeles-sin-entre-con-visa-a-estados-unidos-nota/,
Dónde ver la Noche Amarilla 2025 de Barcelona SC que se realizará en Estados Unidos,https://www.eluniverso.com/deportes/campeonato-ecuatoriano/donde-ver-la-noche-amarilla-2025-de-barcelona-sc-que-se-realizara-en-estados-unidos-nota/,
En febrero se abre la inscripción para curso de bombero voluntario de Guayaquil: estos son los requisitos y documentos necesarios,https://www.eluniverso.com/guayaquil/comunidad/bombero-voluntario-guayaquil-requisitos-curso-aspirante-documentos-necesarios-febrero-2025-nota/,
5 recomendaciones para hacer realidad tus propósitos del 2025,https://www.eluniverso.com/entretenimiento/compras/5-recomendaciones-para-hacer-realidad-tus-propositos-del-2025-nota/,
5 productos que te ayudarán a cumplir tus propósitos en el nuevo año,https://www.eluniverso.com/entretenimiento/compras/5-productos-que-te-ayudaran-a-cumplir-tus-propositos-en-el-nuevo-ano-nota/,
"Nintendo Switch 2 y ‘GTA VI’ marcan el 2025, así como ‘Pokémon Z-A’, ‘The Witcher 4′, ‘Rise of Hydra’ y ‘FIFA Rivals’",https://www.eluniverso.com/entretenimiento/compras/nintendo-switch-2-y-gta-vi-marcan-el-2025-asi-como-pokemon-z-a-the-witcher-4-rise-of-hydra-y-fifa-rivals-nota/,
‘Es mi primera feria y estoy emocionada’: 300 emprendedores autónomos expusieron mercadería con ofertas en parque Samanes,https://www.eluniverso.com/guayaquil/comunidad/es-mi-primera-feria-y-estoy-emocionada-300-emprendedores-autonomos-expusieron-mercaderia-con-ofertas-en-parque-samanes-nota/,
"Comandante de CTE sobre asesinato de dos servidores de tránsito: ‘El luto nos embarga, se está investigando; al momento no estarían relacionados ambos casos’",https://www.eluniverso.com/guayaquil/comunidad/asesinato-agentes-cte-pronunciamiento-comandante-investigaciones-policia-ataques-salinas-naranjito-enero-2025-nota/,
Lluvias en Guayaquil: ¿por qué se registran eventos más intensos y recurrentes en el norte de la ciudad?,https://www.eluniverso.com/guayaquil/comunidad/lluvias-en-guayaquil-por-que-se-registran-eventos-mas-intensos-y-recurrentes-en-el-norte-de-la-ciudad-nota/,
Seis estructuras usadas para tener a víctimas de secuestro fueron incineradas en el sur de Guayaquil,https://www.eluniverso.com/noticias/seguridad/seis-estructuras-usadas-para-tener-a-victimas-de-secuestro-fueron-incineradas-en-el-sur-de-guayaquil-nota/,
300 ayudas técnicas se entregaron a ciudadanos del sur de Guayaquil,https://www.eluniverso.com/guayaquil/comunidad/300-ayudas-tecnicas-se-entregaron-a-ciudadanos-del-sur-de-guayaquil-nota/,
"Misión extranjera realizó 46 cirugías en el hospital de Monte Sinaí, en Guayaquil",https://www.eluniverso.com/guayaquil/comunidad/mision-extranjera-realizo-46-cirugias-en-el-hospital-de-monte-sinai-en-guayaquil-nota/,
"Con presencia policial, CTE realizó operativo pese a atentados contra servidores: cuatro choferes detenidos por conducir en estado de embriaguez",https://www.eluniverso.com/guayaquil/comunidad/cte-realizo-operativo-pese-a-atentados-contra-servidores-cuatro-choferes-fueron-detenidos-por-conducir-en-estado-de-embriaguez-nota/,
Reto Panteón reunió a 225 ciclistas en una competencia extrema en el cerro Azul de Guayaquil,https://www.eluniverso.com/guayaquil/comunidad/reto-panteon-reunio-a-225-ciclistas-en-competencia-extrema-en-cerro-azul-de-guayaquil-nota/,
‘Es mi primera feria y estoy emocionada’: 300 emprendedores autónomos expusieron mercadería con ofertas en parque Samanes,https://www.eluniverso.com/guayaquil/comunidad/es-mi-primera-feria-y-estoy-emocionada-300-emprendedores-autonomos-expusieron-mercaderia-con-ofertas-en-parque-samanes-nota/,
La columna de Bonil,https://www.eluniverso.com/opinion/caricaturas/la-columna-de-bonil-nota-865/,
El uso de robots en la campaña electoral,https://www.eluniverso.com/opinion/editoriales/el-uso-de-robots-en-la-campana-electoral-nota/,
Caldo de torreja de verde,https://www.eluniverso.comhttps://sabor.eluniverso.com/recetas/caldo-de-torreja-de-verde/,
"Yogur con frutas, sin azúcares añadidos",https://www.eluniverso.comhttps://sabor.eluniverso.com/recetas/yogur-con-frutas-sin-azucares-anadidos/,
Pechuguitas de pollo en salsa de yogur,https://www.eluniverso.comhttps://sabor.eluniverso.com/recetas/pechuguitas-de-pollo-en-salsa-de-yogur/,
Corviche de pescado,https://www.eluniverso.comhttps://sabor.eluniverso.com/recetas/corviche-de-pescado/,
