Fecha de Presentacion;Proyecto;Codigo;Proponente(s);Cargo;Comision;Estado;Total_Propuestas;;;
22/7/2024;Proyecto de Ley Orgánica Reformatoria al Código del Trabajo y a la Ley Orgánica de Servicio Público para la protección de los derechos laborales de las personas con enfermedades raras, huérfanas, catastróficas y de alta complejidad;Cod. AN-2024-2977 / AN-MRFM-2024-0082-M;MENDEZ ROJAS FERNANDA MABEL;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión del Derecho al Trabajo y a la Seguridad Social;En trámite / Revisión en Comisión para Primer Debate;2;;;
18/7/2024;Proyecto de Ley Orgánica Reformatoria a varias leyes para un mejor acceso a la educación de los niños, niñas y adolescentes de la provincia de Galápagos y zonas de difícil acceso;Cod. AN-2024-2969 / 452768;AGUAS FLORES MILTON JAVIER;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;Retirado / Registro del Proyecto;3;;;
18/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Penal y otros cuerpos legales para la seguridad;Cod. AN-2024-2976 / 452798;VERA MORA CARLOS EDILBERTO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;1;;;
18/7/2024;Proyecto de Ley Orgánica para el Fortalecimiento de Juicios Políticos;Cod. AN-2024-2966 / 452755;BARRETO ZAMBRANO LENIN DANIEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;6;;;
18/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Telecomunicaciones para la eliminación de la brecha digital;Cod. AN-2024-2971 / 452773;ACAITURRI VILLA VARAS JORGE ENRIQUE;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;En trámite / Revisión en Comisión para Primer Debate;4;;;
18/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de la Función Legislativa;Cod. AN-2024-2967 / 452765;ALVARADO CAMPI LUIS RICARDO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;1;;;
18/7/2024;Proyecto de Ley Reformatorio a la Ley Orgánica de Transporte Terrestre, Tránsito y Seguridad Vial;Cod. AN-2024-2972 / 452794;ZAMBRANO GONZALEZ VIVIANA JACQUELINE;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;En trámite / Revisión en Comisión para Primer Debate;1;;;
18/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de Organización Territorial, Autonomía y Descentralización;Cod. AN-2024-2970 / 452772;CELLERI GÓMEZ SAMUEL ELÍAS;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Revisión en Comisión para Primer Debate;2;;;
18/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Administrativo;Cod. AN-2024-2973 / 452791;BAYAS URIARTE JADIRA DEL ROSARIO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;2;;;
17/7/2024;Proyecto de Ley Orgánica para declarar al 17 de julio como Día Nacional de la Batalla de Ibarra;Cod. AN-2024-2962 / 452659;POSSO NARANJO LUCIA ANABELLE ;ASAMBLEISTA  / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Revisión en Comisión para Primer Debate;6;;;
17/7/2024;Proyecto de Ley Orgánica Reformatoria del ambiente para la adecuada clasificación de los animales;Cod. AN-2024-2964 / 452683;BAYAS URIARTE JADIRA DEL ROSARIO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Biodiversidad y Recursos Naturales;En trámite / Revisión en Comisión para Primer Debate;2;;;
17/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Desarrollo Fronterizo;Cod. AN-2024-2963 / 452672;VELASCO ERAZO PEDRO RAMIRO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;6;;;
17/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Transporte Terrestre, Tránsito y Seguridad Vial para regular la actividad de entrega de bienes y servicios a domicilio en motocicletas;Cod. AN-2024-2968 / AN-CPAE-2024-0117-M;CASTRO PIEDRA ADRIAN ERNESTO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;En trámite / Revisión en Comisión para Primer Debate;4;;;
17/7/2024;Proyecto de Ley Orgánica de Recursos Hídricos, Usos y Aprovechamiento de Agua como Sector Estratégico;Cod. AN-2024-2965 / 452688;VARGAS OCAÑA GUIDO GILBERTO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Biodiversidad y Recursos Naturales;En trámite / Difusión para Primer Debate;6;;;
16/7/2024;Proyecto de Ley Reformatoria a la Ley de Minería para aplicación de la asignación directa de regalías mineras a las áreas de influencia rurales parroquiales, cantonales y provinciales;Cod. AN-2024-2961 / 452594;ORDOÑEZ BRAVO STEVEN LEONARDO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Biodiversidad y Recursos Naturales;En trámite / Revisión en Comisión para Primer Debate;4;;;
16/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal para afrontar la situación delictiva del país;Cod. AN-2024-2959 / 452550;BENITEZ CALVA EDGAR GEOVANNY;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;4;;;
16/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Tránsito, Transporte Terrestre y Seguridad Vial;Cod. AN-2024-2958 / 452520;ALARCON BUENO INES MARGARITA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;En trámite / Revisión en Comisión para Primer Debate;5;;;
16/7/2024;Proyecto de Ley Orgánica Reformatoria a varios cuerpos legales para la desconcentración en la prestación de bienes y servicios públicos del Estado Central;Cod. AN-2024-2960 / 452556;VERA PALACIOS OTTO SANTIAGO Y ALVAREZ GRANDA JORGE HERMEL;ASAMBLEÍSTAS / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;2;;;
11/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Servicio Público (LOSEP) - Eliminación de pensión vitalicia a ex presidentes y ex vicepresidentes;Cod. AN-2024-2957 / 452257;BUESTAN CARABAJO PAUL FERNANDO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión del Derecho al Trabajo y a la Seguridad Social;En trámite / Revisión en Comisión para Primer Debate;4;;;
10/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica para la Planificación y Desarrollo Integral de la Circunscripción Territorial Especial Amazónica;Cod. AN-2024-2955 / 452167;CHAVEZ ANGAMARCA HUMBERTO AMADO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;En trámite / Revisión en el Consejo de Administración Legislativa;1;;;
10/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Discapacidades;Cod. AN-2024-2954 / 452144;ARAUJO NOBOA MARIA FERNANDA Y  JARAMILLO ROBERTO FERNANDO;ASAMBLEÍSTAS / ASAMBLEA NACIONAL ;No Asignada;No Calificado / Archivado;1;;;
10/7/2024;Proyecto de Ley Orgánica de Creación del Código Orgánico de Contratación Pública Socialmente Responsable;Cod. AN-2024-2956 / 452169;NOGALES NOGALES PATRICIA MARICELA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Régimen Económico y Tributario y su Regulación y Control;En trámite / Revisión en Comisión para Primer Debate;1;;;
9/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Recursos Hídricos, Uso y Aprovechamiento del Agua;Cod. AN-2024-2944 / 452035;ERBS ESTUPIÑAN MARIA MERCEDES;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;Retirado / Registro del Proyecto;5;;;
9/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Educación Superior;Cod. AN-2024-2948 / 452052;PASQUEL ANDRADE MARIA TERESA DEL CARMEN;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Revisión en Comisión para Primer Debate;2;;;
9/7/2024;Proyecto de Ley de Fortalecimiento de la Nivelación de estudiantes mediante la contratación de servicios profesionales de Docentes Jubilados;Cod. AN-2024-2945 / AN-CPAE-2024-0112-M;CASTRO PIEDRA ADRIAN ERNESTO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Revisión en Comisión para Primer Debate;4;;;
9/7/2024;Proyecto de Ley Derogatoria al Capítulo III de la Ley Orgánica de Apoyo Humanitario para combatir la Crisis Sanitaria derivada del COVID-19;Cod. AN-2024-2950 / 452074;NÚNEZ FIGUEROA IVONNE ELIZABETH;MINISTRA / MINISTERIO DEL TRABAJO;No Asignada;En trámite / Revisión en el Consejo de Administración Legislativa;1;;;
9/7/2024;Proyecto de Ley Orgánica Reformatoria a varios cuerpos legales para el cierre de la crisis bancaria de 1999;Cod. AN-2024-2946 / 452033;VALLEJO AYALA JOSE LUIS, MOLINA SALDAÑA JUAN PABLO, VEGA QUEZADA CRISTHIAN, LUNA AREVALO BLASCO Y MIRANDA GILER KATIUSKA;ASAMBLEÍSTAS / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;1;;;
9/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Seguridad Social para la Jubilación Especial para el Personal de los Cuerpos de Bomberos del Ecuador;Cod. AN-2024-2947 / 452042;ABAD MOROCHO LUZMILA MERCEDES;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;2;;;
9/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Administrativo;Cod. AN-2024-2951 / 452071;GONZALEZ VALERO RONAL EDUARDO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;5;;;
9/7/2024;Proyecto de Ley para la Estabilización Laboral del personal vinculado bajo el régimen de contrato ocasional o nombramiento provisional por más de cinco años ;Cod. AN-2024-2943 / 452022;MOLINA MENENDEZ MARIA GABRIELA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;4;;;
3/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Salud;Cod. AN-2024-2940 / AN-SMJR-2024-0012-M;SUAREZ MOLINA JUSTIN ROBINSON;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión del Derecho a la Salud y Deporte;En trámite / Revisión en Comisión para Primer Debate;1;;;
3/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Emprendimiento e Innovación ;Cod. AN-2024-2941 / 451601;MATOVELLE VERA DIEGO FERNANDO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;En trámite / Revisión en Comisión para Primer Debate;3;;;
3/7/2024;Proyecto de Reforma a la Ley Orgánica de Tierras Rurales y Territorios Ancestrales;Cod. AN-2024-2942 / 451678;RAMOS CACERES DANIEL GUSTAVO ;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero;En trámite / Revisión en Comisión para Primer Debate;1;;;
2/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de la Función Legislativa;Cod. AN-2024-2939 / AN-CRFE-2024-0051-M;CEDEÑO RIVADENEIRA FERNANDO ENRIQUE;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;1;;;
2/7/2024;Proyecto de Ley Orgánica de Consulta y Consentimiento Previo, Libre e Informado;Cod. AN-2024-2938 / 451536;YUMBAY YALLICO MARIANA, SANMARTIN PARRA FABIOLA MARIBEL, TIUPUL URQUIZO CARMEN, BALTAZAR YUCAILLA CECILIA Y ABAD MOROCHO LUZMILA;ASAMBLEÍSTAS / ASAMBLEA NACIONAL;Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad;En trámite / Revisión en Comisión para Primer Debate;1;;;
28/6/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de Organización Territorial, Autonomía y Descentralización para Fomentar y Fortalecer la Parroquialización;Cod. AN-2024-2936 / 451340;AROTINGO CUSHCAGUA ROSA MARGARITA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Revisión en Comisión para Primer Debate;2;;;
28/6/2024;Proyecto de Ley que Regula los Procedimientos Eutanásicos;Cod. AN-2024-2953 / 451385;CORDOVA VALVERDE CESAR MARCEL;DEFENSOR DEL PUEBLO, ENCARGADO / DEFENSORIA DEL PUEBLO;No Asignada;No Calificado / Archivado;6;;;
27/6/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica del Sistema Nacional de Contratación Pública;Cod. AN-2024-2937 / 450304;SUBIA DÁVALOS KARINA DEL CARMEN;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Régimen Económico y Tributario y su Regulación y Control;En trámite / Revisión en Comisión para Primer Debate;2;;;
26/6/2024;Proyecto de Ley Orgánica Reformatoria de la Ley Orgánica para la Planificación y Desarrollo Integral de la Circunscripción Territorial Especial Amazónica;Cod. AN-2024-2935 / AN-AMLM-2024-0120-M;ABAD MOROCHO LUZMILA MERCEDES;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;2;;;
24/6/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Discapacidades;Cod. AN-2024-2934 / AN-EEMM-2024-0041-M;ERBS ESTUPIÑAN MARIA MERCEDES;ASAMBLEISTA / ASAMBLEA NACIONAL;No Asignada;En trámite / Registro del Proyecto;5;;;
21/6/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica  Electoral, Código de la Democracia;Cod. AN-2024-2933 / 451003;SAMANIEGO MAIGUA  FRANKLIN OMAR;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;19;;;
21/6/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico General de Procesos;Cod. AN-2024-2932 / 450965;TIUPUL URQUIZO CARMEN YOLANDA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;4;;;
20/6/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Empresas Públicas;Cod. AN-2024-2927 / 450887;ARAUJO NOBOA MARIA FERNANDA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;En trámite / Revisión en Comisión para Primer Debate;2;;;
20/6/2024;Proyecto de Ley Orgánica del Sistema Descentralizado de Promoción y Protección de Derechos;Cod. AN-2024-2925 / 450872;AROTINGO CUSHCAGUA ROSA MARGARITA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad;En trámite / Revisión en Comisión para Primer Debate;2;;;
20/6/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de Organización Territorial, Autonomía y Descentralización para el Acceso Efectivo al Agua Potable, Saneamiento y Riego ;Cod. AN-2024-2930 / 450898;GARCÍA MEJÍA ADRIANA DENISSE;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Revisión en Comisión para Primer Debate;4;;;
20/6/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Recursos Hídricos, Usos y Aprovechamiento del Agua y Asegurar el Derecho Humano al Agua para regular sus tarifas de consumo;Cod. AN-2024-2929 / 450899;GARCÍA MEJÍA ADRIANA DENISSE;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Biodiversidad y Recursos Naturales;En trámite / Difusión para Primer Debate;4;;;
20/6/2024;Proyecto de Ley Orgánica de Regulación y Promoción de la Inteligencia Artificial en Ecuador ;Cod. AN-2024-2928 / 450889;NUÑEZ RAMOS SILVIA PATRICIA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Revisión en Comisión para Primer Debate;6;;;
